Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-03-03,43.950001,44.990002,43.889999,44.189999,39.350124,28500,0
2014-03-04,44.720001,45.110001,44.52,45.099998,40.160473,127800,1
2014-03-05,45,45.080002,44.810001,44.939999,40.017986,75100,2
2014-03-06,44.939999,45.060001,44.900002,44.93,40.009087,6500,3
2014-03-07,44.869999,44.98,44.82,44.82,39.911144,2500,4
2014-03-10,44.900002,44.970001,44.860001,44.959999,40.035805,6700,5
2014-03-11,44.970001,44.970001,44.650002,44.650002,39.75975,1000,6
2014-03-12,44.240002,44.799999,44.240002,44.689999,39.795372,5900,7
2014-03-13,44.66,44.66,44.09,44.130001,39.296703,2300,8
2014-03-14,44.34,44.560001,44.330002,44.360001,39.501514,3400,9
2014-03-17,44.599998,44.630001,44.470001,44.57,39.688515,2500,10
2014-03-18,44.700001,44.77,44.700001,44.740002,39.839897,2500,11
2014-03-19,44.720001,44.75,44.349998,44.349998,39.492603,4000,12
2014-03-20,44.380001,44.57,44.380001,44.560001,39.679604,3100,13
2014-03-21,44.689999,44.73,44.540001,44.580002,39.750946,2800,14
2014-03-24,44.540001,44.540001,44.25,44.310001,39.510197,900,15
2014-03-25,44.59,44.59,44.209999,44.369999,39.563694,2700,16
2014-03-26,44.490002,44.490002,44.32,44.41,39.59935,1100,17
2014-03-27,43.810001,43.84,43.759998,43.84,39.091095,1000,18
2014-03-28,44.119999,44.119999,44.009998,44.009998,39.242687,1100,19
2014-03-31,44.5,44.700001,44.490002,44.700001,39.857944,12600,20
2014-04-01,44.580002,45.09,44.580002,45.09,40.205688,6900,21
2014-04-02,44.810001,45,44.779999,44.880001,40.018456,4400,22
2014-04-03,44.630001,44.630001,44.360001,44.5,39.679607,1400,23
2014-04-04,44.52,44.669998,43.619999,43.619999,38.89492,4500,24
2014-04-07,43.400002,43.490002,43.009998,43.009998,38.351013,4700,25
2014-04-08,42.950001,43.16,42.77,43.16,38.484749,1400,26
2014-04-09,43.07,43.349998,43.07,43.290001,38.600681,1900,27
2014-04-10,43.439999,43.459999,43.139999,43.139999,38.466934,2100,28
2014-04-11,42.540001,42.540001,42.25,42.25,37.67334,1100,29
2014-04-14,42.259998,42.450001,41.950001,42.259998,37.682251,2500,30
2014-04-15,42.25,42.400002,41.810001,42.400002,37.807083,1600,31
2014-04-16,42.619999,42.959999,42.610001,42.959999,38.306435,81900,32
2014-04-17,42.959999,43.349998,42.93,43.349998,38.654182,1800,33
2014-04-21,43.419998,43.470001,43.23,43.470001,38.761181,2000,34
2014-04-22,43.599998,43.790001,43.599998,43.75,39.010857,10000,35
2014-04-23,43.650002,43.650002,43.389999,43.450001,38.743355,9100,36
2014-04-24,43.419998,43.599998,43.369999,43.380001,38.680927,1200,37
2014-04-25,42.880001,42.900002,42.799999,42.860001,38.217251,11800,38
2014-04-28,43.169998,43.169998,42.419998,42.740002,38.110252,1600,39
2014-04-29,42.889999,42.919998,42.720001,42.82,38.181602,4400,40
2014-04-30,42.5,42.959999,42.490002,42.959999,38.306435,10500,41
2014-05-01,43.169998,43.27,43.02,43.029999,38.368843,10500,42
2014-05-02,43.360001,43.380001,43.299999,43.299999,38.609592,900,43
2014-05-05,43.099998,43.110001,43.080002,43.080002,38.413441,800,44
2014-05-06,43.009998,43.009998,42.68,42.68,38.056763,1000,45
2014-05-07,42.400002,42.57,42.400002,42.540001,37.931927,800,46
2014-05-08,42.650002,43.16,42.650002,43.16,38.484749,1000,47
2014-05-09,42.259998,42.66,42.240002,42.619999,38.003254,1600,48
2014-05-12,42.73,43.580002,42.73,43.580002,38.859272,800,49
2014-05-13,43.709999,43.889999,43.66,43.66,38.930607,3100,50
2014-05-14,43.330002,43.330002,43.330002,43.330002,38.636356,200,51
2014-05-15,43.049999,43.049999,42.599998,42.880001,38.235096,1300,52
2014-05-16,42.959999,43.130001,42.959999,43.130001,38.458031,500,53
2014-05-19,43.380001,43.450001,43.32,43.450001,38.743355,2000,54
2014-05-20,43.450001,43.450001,43.450001,43.450001,38.743355,0,55
2014-05-21,43.27,43.27,43.169998,43.23,38.547176,5500,56
2014-05-22,43.360001,43.389999,43.349998,43.349998,38.654182,1100,57
2014-05-23,43.389999,43.599998,43.389999,43.540001,38.823608,2600,58
2014-05-27,44.080002,44.119999,43.970001,44.029999,39.260525,1600,59
2014-05-28,43.93,43.990002,43.860001,43.880001,39.126781,2100,60
2014-05-29,44.220001,44.220001,44.220001,44.220001,39.429947,200,61
2014-05-30,44.439999,44.490002,44.369999,44.490002,39.670685,1400,62
2014-06-02,44.43,44.540001,44.330002,44.529999,39.706367,3400,63
2014-06-03,44.509998,44.509998,44.349998,44.459999,39.643948,1000,64
2014-06-04,44.349998,44.889999,44.349998,44.869999,40.009533,2700,65
2014-06-05,45.060001,45.139999,44.700001,45.139999,40.250275,900,66
2014-06-06,45.25,45.290001,45.200001,45.290001,40.384037,1000,67
2014-06-09,45.279999,45.490002,45.279999,45.490002,40.562366,600,68
2014-06-10,45.169998,45.200001,45.110001,45.200001,40.30378,800,69
2014-06-11,45.150002,45.240002,45.150002,45.240002,40.339458,600,70
2014-06-12,45.240002,45.240002,44.900002,45.049999,40.170021,1400,71
2014-06-13,45.099998,45.099998,45.060001,45.060001,40.178959,700,72
2014-06-16,45.099998,45.34,45.060001,45.32,40.410782,4800,73
2014-06-17,45.48,45.650002,45.48,45.630001,40.687206,2600,74
2014-06-18,45.779999,46.009998,45.779999,45.98,40.99929,2700,75
2014-06-19,46.27,46.27,46.02,46.07,41.079544,500,76
2014-06-20,45.799999,45.849998,45.75,45.849998,41.101944,800,77
2014-06-23,45.919998,45.919998,45.759998,45.77,41.030239,2800,78
2014-06-24,45.529999,45.73,45.380001,45.380001,40.68063,2300,79
2014-06-25,45.139999,45.799999,45.139999,45.759998,41.021278,2600,80
2014-06-26,45.419998,45.700001,45.419998,45.599998,40.877842,3100,81
2014-06-27,45.720001,45.919998,45.700001,45.919998,41.164696,1900,82
2014-06-30,45.860001,46.150002,45.860001,46.099998,41.326054,5000,83
2014-07-01,46.349998,46.459999,46.34,46.459999,41.648785,1100,84
2014-07-02,46.349998,46.349998,46.240002,46.240002,41.451572,1600,85
2014-07-03,46.360001,46.709999,46.360001,46.560001,41.738438,1800,86
2014-07-07,46.439999,46.57,46.380001,46.400002,41.594997,2200,87
2014-07-08,46.09,46.130001,46.02,46.029999,41.263313,2100,88
2014-07-09,46.150002,46.34,46.150002,46.34,41.541206,1300,89
